
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        142           360.743                         5.17e+03
     1        284           42.1274        0.602645              492      
     2        426           28.8567        0.314883              241      
     3        568           17.5452         0.57493             23.7      
     4        710           15.3078        0.331197             15.2      
     5        852           13.9425        0.373234             13.4      
     6        994           13.6666        0.203592             4.18      
     7       1136           13.5399        0.191688             9.71      
     8       1278           13.5399        0.151608             9.71      
     9       1420           13.5284       0.0379021             6.19      
    10       1562           13.5228       0.0379021             3.12      
    11       1704           13.5168       0.0379021             1.13      
    12       1846           13.5126       0.0379021             1.52      
    13       1988           13.5097        0.066464              4.2      
    14       2130           13.5097       0.0758042             7.88      
    15       2272            13.507        0.018951            0.996      
    16       2414           13.5062        0.018951            0.565      
    17       2556           13.5058       0.0379021             2.94      
    18       2698           13.5058       0.0379021             2.94      
    19       2840           13.5055      0.00947552            0.186      
    20       2982           13.5054      0.00947552             1.27      
    21       3124           13.5054      0.00947552            0.439      
    22       3266           13.5054      0.00236888           0.0969      
    23       3408           13.5054      0.00236888            0.353      
    24       3550           13.5054      0.00236888           0.0213      
    25       3692           13.5054      0.00236888            0.346      
    26       3834           13.5054      0.00059222            0.016      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  184       73548    2.538158e+01     0.000e+00     7.000e-01     5.228e-02     6.675e+00  
  185       73940    2.535439e+01     5.551e-17     1.000e+00     6.094e-02     5.294e+00  
  186       74335    2.533506e+01     2.776e-17     3.430e-01     3.116e-02     4.626e+00  
  187       74729    2.531863e+01     2.776e-17     4.900e-01     3.998e-02     3.786e+00  
  188       75126    2.531842e+01     5.551e-17     1.681e-01     1.962e-02     4.314e+00  
  189       75518    2.529000e+01     1.388e-17     1.000e+00     7.790e-02     4.490e+00  
  190       75910    2.524509e+01     2.776e-17     1.000e+00     6.557e-02     2.728e+00  
  191       76303    2.523462e+01     2.776e-17     7.000e-01     8.486e-02     3.010e+00  
  192       76697    2.521431e+01     1.388e-17     4.900e-01     1.320e-01     7.608e+00  
  193       77090    2.518642e+01     1.388e-17     7.000e-01     1.936e-01     5.758e+00  
  194       77482    2.513972e+01     2.776e-17     1.000e+00     9.648e-02     7.442e+00  
  195       77874    2.510710e+01     2.776e-17     1.000e+00     3.614e-02     4.602e+00  
  196       78268    2.509281e+01     2.776e-17     4.900e-01     1.981e-02     3.365e+00  
  197       78660    2.507787e+01     1.388e-17     1.000e+00     2.806e-02     4.590e+00  
  198       79052    2.506515e+01     2.776e-17     1.000e+00     2.699e-02     2.249e+00  
  199       79445    2.505954e+01     1.388e-17     7.000e-01     2.857e-02     3.758e+00  
  200       79837    2.504257e+01     2.776e-17     1.000e+00     2.338e-02     2.670e+00  
  201       80230    2.504132e+01     1.388e-17     7.000e-01     2.902e-02     2.033e+00  
  202       80622    2.502738e+01     4.163e-17     1.000e+00     3.296e-02     2.045e+00  
  203       81014    2.502409e+01     2.776e-17     1.000e+00     2.853e-02     2.853e+00  
  204       81406    2.501459e+01     2.776e-17     1.000e+00     2.046e-02     1.677e+00  
  205       81802    2.501328e+01     2.776e-17     2.401e-01     1.261e-02     1.658e+00  
  206       82194    2.501075e+01     1.388e-17     1.000e+00     8.395e-02     3.643e+00  
  207       82586    2.499794e+01     2.776e-17     1.000e+00     4.259e-02     3.570e+00  
  208       82980    2.499275e+01     2.776e-17     4.900e-01     4.058e-02     2.950e+00  
  209       83372    2.497400e+01     2.776e-17     1.000e+00     6.523e-02     2.617e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  210       83764    2.496194e+01     1.388e-17     1.000e+00     1.198e-01     3.596e+00  
  211       84156    2.490660e+01     2.776e-17     1.000e+00     3.086e-01     6.748e+00  
  212       84548    2.485761e+01     2.776e-17     1.000e+00     1.299e-01     9.994e+00  
  213       84940    2.483172e+01     2.776e-17     1.000e+00     1.816e-01     9.010e+00  
  214       85334    2.478459e+01     2.776e-17     4.900e-01     1.384e-01     4.420e+00  
  215       85726    2.469305e+01     2.776e-17     1.000e+00     9.785e-02     8.708e+00  
  216       86119    2.469161e+01     0.000e+00     7.000e-01     7.303e-02     1.105e+01  
  217       86511    2.463222e+01     1.388e-17     1.000e+00     4.524e-02     6.176e+00  
  218       86903    2.459303e+01     1.388e-17     1.000e+00     4.374e-02     5.705e+00  
  219       87299    2.458857e+01     0.000e+00     2.401e-01     1.649e-02     2.910e+00  
  220       87692    2.458107e+01     0.000e+00     7.000e-01     7.415e-02     4.566e+00  
  221       88084    2.454902e+01     1.388e-17     1.000e+00     3.144e-02     5.253e+00  
  222       88477    2.453789e+01     2.776e-17     7.000e-01     2.764e-02     5.117e+00  
  223       88869    2.449858e+01     2.776e-17     1.000e+00     5.512e-02     7.728e+00  
  224       89265    2.448043e+01     1.388e-17     2.401e-01     7.658e-02     1.740e+01  
  225       89657    2.444338e+01     5.551e-17     1.000e+00     6.316e-02     1.768e+01  
  226       90051    2.438194e+01     1.388e-17     4.900e-01     7.510e-02     2.219e+01  
  227       90443    2.425271e+01     2.776e-17     1.000e+00     1.086e-01     1.241e+01  
  228       90838    2.417817e+01     0.000e+00     3.430e-01     7.753e-02     1.298e+01  
  229       91230    2.390724e+01     1.388e-17     1.000e+00     1.519e-01     2.076e+01  
  230       91626    2.389269e+01     1.388e-17     2.401e-01     8.689e-02     7.211e+01  
  231       92022    2.377538e+01     1.388e-17     2.401e-01     1.915e-01     2.177e+01  
  232       92414    2.331699e+01     2.776e-17     1.000e+00     1.587e-01     1.078e+01  
  233       92807    2.325540e+01     1.388e-17     7.000e-01     6.354e-02     2.300e+01  
  234       93200    2.314414e+01     0.000e+00     7.000e-01     8.071e-02     2.685e+01  
  235       93592    2.294792e+01     1.388e-17     1.000e+00     6.641e-02     5.370e+00  
  236       93984    2.291930e+01     5.551e-17     1.000e+00     5.598e-02     8.885e+00  
  237       94376    2.287633e+01     5.551e-17     1.000e+00     9.585e-02     9.423e+00  
  238       94768    2.282373e+01     2.776e-17     1.000e+00     1.039e-01     8.675e+00  
  239       95161    2.278262e+01     5.551e-17     7.000e-01     4.558e-02     8.736e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  240       95555    2.277124e+01     1.388e-17     4.900e-01     3.804e-02     1.025e+01  
  241       95948    2.276806e+01     0.000e+00     7.000e-01     9.776e-02     1.404e+01  
  242       96340    2.265611e+01     1.388e-17     1.000e+00     4.285e-02     3.735e+00  
  243       96732    2.263532e+01     5.551e-17     1.000e+00     4.281e-02     4.582e+00  
  244       97124    2.261807e+01     1.388e-17     1.000e+00     7.000e-02     5.233e+00  
  245       97518    2.260304e+01     2.776e-17     4.900e-01     6.614e-02     3.145e+00  
  246       97910    2.257551e+01     5.551e-17     1.000e+00     6.557e-02     4.859e+00  
  247       98302    2.255766e+01     1.388e-17     1.000e+00     4.726e-02     6.082e+00  
  248       98695    2.254319e+01     1.388e-17     7.000e-01     5.381e-02     3.763e+00  
  249       99087    2.253521e+01     1.388e-17     1.000e+00     1.212e-01     6.658e+00  
  250       99479    2.250781e+01     5.551e-17     1.000e+00     4.095e-02     4.266e+00  
  251       99871    2.249519e+01     0.000e+00     1.000e+00     2.533e-02     4.432e+00  
  252      100263    2.248090e+01     5.551e-17     1.000e+00     7.288e-02     4.332e+00  
  253      100656    2.247521e+01     1.388e-17     7.000e-01     5.601e-02     4.861e+00  
  254      101049    2.245861e+01     1.388e-17     7.000e-01     9.902e-02     3.621e+00  
  255      101441    2.242042e+01     4.163e-17     1.000e+00     7.617e-02     5.200e+00  
