Starting parallel pool (parpool) using the 'Threads' profile ...
Connected to parallel pool with 16 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        111           431.717                         7.54e+03
     1        222           280.545       0.0118261         2.14e+03      
     2        333           210.749       0.0160693              670      
     3        444           79.3632        0.308463              271      
     4        555           26.5792        0.536284             17.8      
     5        666            16.628        0.591139             80.9      
     6        777           14.9976        0.299029             7.73      
     7        888           14.4083        0.246565             8.69      
     8        999           14.2635        0.149992             1.75      
     9       1110             14.23       0.0969714             1.41      
    10       1221           14.2229       0.0592784            0.225      
    11       1332           14.2217       0.0349669            0.053      
    12       1443           14.2216       0.0149507           0.0176      
    13       1554           14.2216      0.00311676          0.00336      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  216       86465    2.163240e+01     1.110e-16     1.000e+00     8.118e-02     6.184e+00  
  217       86857    2.157124e+01     0.000e+00     1.000e+00     7.051e-02     5.354e+00  
  218       87249    2.151864e+01     5.551e-17     1.000e+00     1.233e-01     4.240e+00  
  219       87643    2.150619e+01     5.551e-17     4.900e-01     1.774e-01     5.199e+00  
  220       88035    2.141907e+01     0.000e+00     1.000e+00     2.757e-01     1.337e+01  
  221       88429    2.137721e+01     0.000e+00     4.900e-01     1.292e-01     1.166e+01  
  222       88822    2.135226e+01     0.000e+00     7.000e-01     1.237e-01     1.019e+01  
  223       89214    2.124111e+01     0.000e+00     1.000e+00     1.814e-01     1.274e+01  
  224       89606    2.120607e+01     0.000e+00     1.000e+00     1.073e-01     1.118e+01  
  225       89998    2.118064e+01     5.551e-17     1.000e+00     9.094e-02     1.264e+01  
  226       90391    2.115596e+01     1.110e-16     7.000e-01     7.634e-02     5.539e+00  
  227       90784    2.111675e+01     5.551e-17     7.000e-01     7.310e-02     9.602e+00  
  228       91176    2.110653e+01     1.110e-16     1.000e+00     1.166e-01     5.495e+00  
  229       91568    2.105450e+01     2.776e-17     1.000e+00     6.907e-02     9.453e+00  
  230       91961    2.104716e+01     5.551e-17     7.000e-01     6.012e-02     5.441e+00  
  231       92353    2.100506e+01     5.551e-17     1.000e+00     9.029e-02     6.453e+00  
  232       92745    2.098012e+01     5.551e-17     1.000e+00     9.186e-02     3.900e+00  
  233       93137    2.095382e+01     5.551e-17     1.000e+00     8.240e-02     5.263e+00  
  234       93529    2.094242e+01     1.110e-16     1.000e+00     1.205e-01     5.851e+00  
  235       93921    2.091712e+01     1.110e-16     1.000e+00     1.601e-01     7.042e+00  
  236       94314    2.091006e+01     0.000e+00     7.000e-01     1.301e-01     6.639e+00  
  237       94706    2.087247e+01     1.110e-16     1.000e+00     5.707e-02     3.196e+00  
  238       95098    2.085459e+01     5.551e-17     1.000e+00     5.900e-02     3.142e+00  
  239       95490    2.085271e+01     2.776e-17     1.000e+00     1.251e-01     3.198e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  240       95883    2.084990e+01     5.551e-17     7.000e-01     9.924e-02     3.773e+00  
  241       96275    2.083438e+01     5.551e-17     1.000e+00     6.857e-02     2.650e+00  
  242       96667    2.081666e+01     0.000e+00     1.000e+00     3.825e-02     3.877e+00  
  243       97059    2.080203e+01     5.551e-17     1.000e+00     9.304e-02     1.339e+00  
  244       97451    2.078838e+01     5.551e-17     1.000e+00     1.135e-01     2.654e+00  
  245       97843    2.077002e+01     5.551e-17     1.000e+00     2.038e-01     2.563e+00  
  246       98235    2.075211e+01     5.551e-17     1.000e+00     3.225e-01     2.403e+00  
  247       98627    2.073921e+01     5.551e-17     1.000e+00     1.210e-01     2.339e+00  
  248       99019    2.072502e+01     0.000e+00     1.000e+00     1.088e-01     1.872e+00  
  249       99411    2.071435e+01     1.110e-16     1.000e+00     2.093e-01     3.960e+00  
  250       99805    2.070947e+01     0.000e+00     4.900e-01     4.516e-02     2.542e+00  
  251      100199    2.070105e+01     2.776e-17     4.900e-01     4.924e-02     1.847e+00  
  252      100591    2.068563e+01     5.551e-17     1.000e+00     6.250e-02     1.165e+00  
  253      100983    2.067936e+01     0.000e+00     1.000e+00     3.154e-02     8.040e-01  
  254      101375    2.067297e+01     5.551e-17     1.000e+00     4.400e-02     8.884e-01  
  255      101767    2.066034e+01     5.551e-17     1.000e+00     1.623e-01     1.685e+00  
  256      102159    2.065236e+01     0.000e+00     1.000e+00     4.184e-02     1.248e+00  
  257      102551    2.064554e+01     2.776e-17     1.000e+00     6.568e-02     1.342e+00  
  258      102943    2.064065e+01     5.551e-17     1.000e+00     8.043e-02     1.492e+00  
  259      103335    2.063555e+01     5.551e-17     1.000e+00     3.789e-02     1.330e+00  
  260      103727    2.062979e+01     2.776e-17     1.000e+00     7.027e-02     6.606e-01  
  261      104119    2.062467e+01     5.551e-17     1.000e+00     9.243e-02     8.586e-01  
  262      104511    2.062008e+01     5.551e-17     1.000e+00     4.775e-02     6.131e-01  
  263      104903    2.061745e+01     0.000e+00     1.000e+00     2.376e-02     5.710e-01  
  264      105295    2.061565e+01     5.551e-17     1.000e+00     2.268e-02     6.224e-01  
  265      105687    2.061374e+01     5.551e-17     1.000e+00     2.739e-02     4.809e-01  
  266      106079    2.061166e+01     5.551e-17     1.000e+00     3.677e-02     5.467e-01  
  267      106471    2.060983e+01     0.000e+00     1.000e+00     7.256e-02     9.499e-01  
  268      106863    2.060701e+01     5.551e-17     1.000e+00     4.314e-02     1.137e+00  
  269      107255    2.060455e+01     2.776e-17     1.000e+00     5.864e-02     3.861e-01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  270      107647    2.060282e+01     2.776e-17     1.000e+00     5.210e-02     7.749e-01  
